registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
10171610067;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
10171610068;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;;
10171610068;III;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
10171619002;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
10171619004;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
10171619005;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SÖRING GmbH;ALEMANHA
10171619006;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
10171619007;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
10171619009;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
10171619010;II;PANMÉDICA NEGÓCIOS HOSPITALARES LTDA;SORING GMBH;ALEMANHA
80940400001;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400001;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO., LTD;CHINA, REPÚBLICA POPULAR
80940400002;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400002;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F.PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400003;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400003;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400004;II;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F.PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400005;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400005;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F.PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400006;II;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400007;I;PANTHER HEALTHCARE DO BRASIL LTDA;VIRTUAL PORTS LTD;ISRAEL
80940400008;I;PANTHER HEALTHCARE DO BRASIL LTDA;VIRTUAL PORTS LTD;ISRAEL
80940400009;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400009;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F.PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400010;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400010;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F.PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400012;I;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400013;I;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400014;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400014;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940400015;III;PANTHER HEALTHCARE DO BRASIL LTDA;;
80940400015;III;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940409001;II;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940409003;II;PANTHER HEALTHCARE DO BRASIL LTDA;SURGITOOLS (SHANGHAI) MEDICAL INSTRUMENTS CO.,LTD.;CHINA, REPÚBLICA POPULAR
80940409004;II;PANTHER HEALTHCARE DO BRASIL LTDA;SURGITOOLS (SHANGHAI) MEDICAL INSTRUMENTS CO.,LTD.;CHINA, REPÚBLICA POPULAR
80940409005;II;PANTHER HEALTHCARE DO BRASIL LTDA;SURGITOOLS (SHANGHAI) MEDICAL INSTRUMENTS CO.,LTD.;CHINA, REPÚBLICA POPULAR
80940409006;II;PANTHER HEALTHCARE DO BRASIL LTDA;SURGITOOLS (SHANGHAI) MEDICAL INSTRUMENTS CO.,LTD.;CHINA, REPÚBLICA POPULAR
80940409007;II;PANTHER HEALTHCARE DO BRASIL LTDA;NINGBO XINWELL MEDICAL TECHNOLOGY CO., LTD;CHINA, REPÚBLICA POPULAR
80940409008;II;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO.,LTD;CHINA, REPÚBLICA POPULAR
80940409009;II;PANTHER HEALTHCARE DO BRASIL LTDA;B.J.ZH.F. PANTHER MEDICAL EQUIPMENT CO., LTD;CHINA, REPÚBLICA POPULAR
80119120003;I;PAPA LIX PLÁSTICOS E DESCARTÁVEIS LTDA;WECKERLE COSMETICS (HANGZHOU) CO., LTD;CHINA, REPÚBLICA POPULAR
80119120004;I;PAPA LIX PLÁSTICOS E DESCARTÁVEIS LTDA;CHANGZHOU UNIVERSAL MEDICAL EQUIPMENT CO. LTD;CHINA, REPÚBLICA POPULAR
80882270000;II;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SHANGHAI DONGYUE MEDICAL HEALTH PRODUCT CO. , LTD;CHINA, REPÚBLICA POPULAR
