registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
10302860236;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860244;I;H STRATTNER E CIA LTDA;E.HAHNENKRATT GMBH;ALEMANHA
10302860245;I;H STRATTNER E CIA LTDA;E.HAHNENKRATT GMBH;ALEMANHA
10302860249;I;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860250;II;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860253;II;H STRATTNER E CIA LTDA;KARL STORZ SE & CO. KG;ALEMANHA
10302860275;III;H STRATTNER E CIA LTDA;;
10302860275;III;H STRATTNER E CIA LTDA;Vesocclude Medical, LLC;ESTADOS UNIDOS DA AMÉRICA
10302860293;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860295;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860297;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860298;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860299;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860300;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860301;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860302;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860304;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860305;I;H STRATTNER E CIA LTDA;ACKERMANN INSTRUMENTE GMBH;ALEMANHA
10302860309;I;H STRATTNER E CIA LTDA;GETSCH UND HILLER MEDIZINTECHNIK GMBH;ALEMANHA
10302860310;I;H STRATTNER E CIA LTDA;GETSCH UND HILLER MEDIZINTECHNIK GMBH;ALEMANHA
10302860311;I;H STRATTNER E CIA LTDA;GETSCH UND HILLER MEDIZINTECHNIK GMBH;ALEMANHA
10302860312;III;H STRATTNER E CIA LTDA;;
10302860312;III;H STRATTNER E CIA LTDA;GÜNTER BISSINGER MEDIZINTECHNIK GMBH;ALEMANHA
10302860313;III;H STRATTNER E CIA LTDA;;
10302860313;III;H STRATTNER E CIA LTDA;GÜNTER BISSINGER MEDIZINTECHNIK GMBH;ALEMANHA
10302860314;III;H STRATTNER E CIA LTDA;;
10302860314;III;H STRATTNER E CIA LTDA;GÜNTER BISSINGER MEDIZINTECHNIK GMBH;ALEMANHA
10302860315;III;H STRATTNER E CIA LTDA;;
10302860315;III;H STRATTNER E CIA LTDA;GÜNTER BISSINGER MEDIZINTECHNIK GMBH;ALEMANHA
10302860318;I;H STRATTNER E CIA LTDA;TEKNO-MEDICAL OPTIK-CHIRURGIE GMBH;ALEMANHA
10302860320;I;H STRATTNER E CIA LTDA;TEKNO-MEDICAL OPTIK-CHIRURGIE GMBH;ALEMANHA
10302860322;I;H STRATTNER E CIA LTDA;TEKNO-MEDICAL OPTIK-CHIRURGIE GMBH;ALEMANHA
10302860324;I;H STRATTNER E CIA LTDA;GÜNTER BISSINGER MEDIZINTECHNIK GMBH;ALEMANHA
10302869012;II;H STRATTNER E CIA LTDA;DORNIER MEDTECH GMBH;ALEMANHA
10302869013;II;H STRATTNER E CIA LTDA;DORNIER MEDTECH AMERICA;ESTADOS UNIDOS DA AMÉRICA
10302869016;II;H STRATTNER E CIA LTDA;GETSCH UND HILLER MEDIZINTECHNIK GMBH;ALEMANHA
10354340087;I;H V COMERCIO IMPORTACAO E EXPORTACAO LTDA;Óculo-Plastik Inc.;CANADÁ
10354340088;I;H V COMERCIO IMPORTACAO E EXPORTACAO LTDA;Óculo-Plastik Inc.;CANADÁ
10354340091;I;H V COMERCIO IMPORTACAO E EXPORTACAO LTDA;Óculo-Plastik Inc.;CANADÁ
10354340092;I;H V COMERCIO IMPORTACAO E EXPORTACAO LTDA;Óculo-Plastik Inc.;CANADÁ
80430110001;I;H W COMÉRCIO DE PRODUTOS HOSPITALARES LTDA - ME;UNIMICRO MEDICAL SYSTEMS (SHENZHEN) CO. LTD;CHINA, REPÚBLICA POPULAR
