codigo_tuss;codigo_cbhpm;descricao;porte;custo_operacional_uco;pagina_publicacao
10100008;1.01.00.00-8;Código Procedimentos Porte CONSULTAS (1.01.01.00-4) 1.01.01.01-2 Em consultório (no horári;2B;1;23
10101039;1.01.01.03-9;Em pronto socorro;2B;1;23
10102019;1.01.02.01-9;Visita hospitalar (paciente internado);2A;1;23
10103015;1.01.03.01-5;Atendimento ao recém-nascido em berçário;3C;20;23
10103996;1.01.03.99-6;OBSERVAÇÕES: 1 -Será obedecido o que consta no item 6 das Instruções Gerais. 2 -Em caso de;2B;1;24
10104992;1.01.04.99-2;OBSERVAÇÕES: - Nos portes indicados para o plantonista de UTI não estão incluídos: diálise;2B;1;24
10105042;1.01.05.04-2;Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o reto;4A;1;25
10106049;1.01.06.04-9;Atendimento pediátrico a gestantes (3º trimestre);2B;1;25
10106073;1.01.06.07-3;Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou de;3B;1;25
20100000;2.01.00.00-0;Custo Código Procedimentos Porte Oper. AVALIAÇÕES / ACOMPANHAMENTOS (2.01.01.00-7) 2.01.01;2B;;27
20101023;2.01.01.02-3;Análise da proporcionalidade cineantropométrica;1A;;27
20101074;2.01.01.07-4;Avaliação nutricional (inclui consulta);2B;;27
20101082;2.01.01.08-2;Avaliação nutricional pré e pós-cirurgia bariátrica (inclui consulta);2B;;27
20101090;2.01.01.09-0;Avaliação da composição corporal por antropometria (inclui consulta);2B;;27
20101104;2.01.01.10-4;Avaliação da composição corporal por bioimpedanciometria;1A;0,550;27
20101112;2.01.01.11-2;Avaliação da composição corporal por pesagem hidrostática;1A;;27
20101120;2.01.01.12-0;Controle anti-doping (por período de 2 horas) - durante competições;5A;;27
20101139;2.01.01.13-9;Controle anti-doping (por período de 2 horas) - fora de competições;5A;;27
20101155;2.01.01.15-5;Prestação de serviços em delegações ou competições;6C;;27
20101163;2.01.01.16-3;Pulsoterapia (por sessão);4C;;27
20101171;2.01.01.17-1;Rejeição de enxerto renal - tratamento ambulatorial - avaliação clínica diária;2C;;27
20101201;2.01.01.20-1;Avaliação clínica e eletrônica de paciente portador de marca-passo ou sincronizador ou des;2B;6,000;27
20102011;2.01.02.01-1;Holter de 24 horas - 2 ou mais canais - analógico;2A;8,100;27
20102020;2.01.02.02-0;Holter de 24 horas - 3 canais - digital;2A;12,000;27
20102038;2.01.02.03-8;Monitorização ambulatorial da pressão arterial - MAPA (24 horas);2A;12,000;27
20102062;2.01.02.06-2;Monitor de eventos sintomáticos por 15 a 30 dias (LOOPER);2A;30,000;27
20102070;2.01.02.07-0;Tilt teste;2A;12,000;27
20103018;2.01.03.01-8;Adaptação e treinamento de recursos ópticos para visão subnormal (por sessão) - binocular;1B;;27
20103026;2.01.03.02-6;Amputação bilateral (preparação do coto);1C;0,710;27
20103034;2.01.03.03-4;Amputação bilateral (treinamento protético);1C;0,640;27
20103042;2.01.03.04-2;Amputação unilateral (preparação do coto);1B;0,470;27
20103050;2.01.03.05-0;Amputação unilateral (treinamento protético);1B;0,490;27
20103077;2.01.03.07-7;Ataxias;1C;0,230;28
20103093;2.01.03.09-3;Atendimento fisiátrico no pré e pós-operatório de pacientes para prevenção de seqüelas;1B;;28
20103107;2.01.03.10-7;Atendimento fisiátrico no pré e pós-parto;1B;;28
20103115;2.01.03.11-5;Atividade reflexa ou aplicação de técnica cinesioterápica específica;1B;;28
20103123;2.01.03.12-3;Atividades em escola de postura (máximo de 10 pessoas) - por sessão;1C;;28
20103131;2.01.03.13-1;Biofeedback com EMG;2C;0,420;28
20103140;2.01.03.14-0;Bloqueio fenólico, alcoólico ou com toxina botulínica (de pontos motores) - por membro ou;2C;1,950;28
20103158;2.01.03.15-8;Confecção de órteses em material termo-sensível (por unidade);1B;0,420;28
20103166;2.01.03.16-6;Confecção de prótese imediata;1C;6,300;28
20103174;2.01.03.17-4;Confecção de prótese provisória;1B;5,500;28
20103182;2.01.03.18-2;Desvios posturais da coluna vertebral;1B;;28
20103190;2.01.03.19-0;Disfunção vésico-uretral;1B;0,160;28
20103204;2.01.03.20-4;Distrofia simpático-reflexa;1C;0,450;28
20103212;2.01.03.21-2;Distúrbios circulatórios artério-venosos e linfáticos;1B;1,100;28
20103220;2.01.03.22-0;Doenças pulmonares atendidas em ambulatório;1B;0,440;28
20103239;2.01.03.23-9;Exercícios de ortóptica (por sessão);1A;;28
20103247;2.01.03.24-7;Exercícios para reabilitação do asmático (ERAC) - por sessão coletiva;1A;0,440;28
20103255;2.01.03.25-5;Exercícios para reabilitação do asmático (ERAI) - por sessão individual;1B;0,440;28
20103263;2.01.03.26-3;Hemiparesia;2A;0,250;28
20103271;2.01.03.27-1;Hemiplegia;2A;0,330;28
20103280;2.01.03.28-0;Hemiplegia e hemiparesia com afasia;2A;0,350;28
20103298;2.01.03.29-8;Hipo ou agenesia de membros;1B;0,420;28
20103301;2.01.03.30-1;Infiltração de ponto gatilho (por músculo) ou agulhamento seco (por músculo);3A;;28
20103310;2.01.03.31-0;Lesão nervosa periférica afetando mais de um nervo com alterações sensitivas e/ou motoras;1C;0,400;28
20103328;2.01.03.32-8;Lesão nervosa periférica afetando um nervo com alterações sensitivas e/ou motoras;1C;0,400;28
20103336;2.01.03.33-6;Manipulação vertebral;2B;;28
20103360;2.01.03.36-0;Paciente com D.P.O.C. em atendimento ambulatorial necessitando reeducação e reabilitação r;1C;0,540;29
20103379;2.01.03.37-9;Paciente em pós-operatório de cirurgia cardíaca, atendido em ambulatório, duas a três veze;1B;;29
20103387;2.01.03.38-7;Pacientes com doença isquêmica do coração, atendido em ambulatório de 8 a 24 semanas;1B;;29
20103395;2.01.03.39-5;Pacientes com doença isquêmica do coração, atendido em ambulatório, até 8 semanas de progr;1B;;29
20103409;2.01.03.40-9;Pacientes com doenças neuro-músculo-esqueléticas com envolvimento tegumentar;1B;0,140;29
20103417;2.01.03.41-7;Pacientes sem doença coronariana clinicamente manifesta, mas considerada de alto risco, at;1C;1,060;29
20103425;2.01.03.42-5;Paralisia cerebral;2A;0,590;29
20103433;2.01.03.43-3;Paralisia cerebral com distúrbio de comunicação 2A 0,450 2.01.03.44-1 Paraparesia/tetrapar;1C;0,660;29
20103450;2.01.03.45-0;Paraplegia e tetraplegia;1C;0,520;29
20103468;2.01.03.46-8;Parkinson;2A;0,230;29
20103476;2.01.03.47-6;Patologia neurológica com dependência de atividades da vida;1C;0,870;29
20103484;2.01.03.48-4;Patologia osteomioarticular em um membro;1C;0,470;29
20103492;2.01.03.49-2;Patologia osteomioarticular em dois ou mais membros;2A;0,600;29
20103506;2.01.03.50-6;Patologia osteomioarticular em um segmento da coluna;1C;0,270;29
20103514;2.01.03.51-4;Patologia osteomioarticular em diferentes segmentos da coluna;2A;1,560;29
20103522;2.01.03.52-2;Patologias osteomioarticulares com dependência de atividades da vida diária;1C;0,630;29
20103530;2.01.03.53-0;Recuperação funcional pós-operatória ou por imobilização da patologia vertebral;1C;0,900;30
20103549;2.01.03.54-9;Procedimentos mesoterápicos (por região anatômica);1C;0,100;29
20103557;2.01.03.55-7;Procedimentos mesoterápicos com calcitonina (qualquer segmento);1C;0,100;29
20103565;2.01.03.56-5;Processos inflamatórios pélvicos;1B;0,460;29
20103573;2.01.03.57-3;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O;1A;;29
20103581;2.01.03.58-1;Programa de exercício supervisionado com obtenção de eletrocardiograma e/ou saturação de O;1A;;29
20103603;2.01.03.60-3;Programa de exercício supervisionado sem obtenção de eletrocardiograma e/ou saturação de O;1A;;30
20103611;2.01.03.61-1;Queimados - seguimento ambulatorial para prevenção de seqüelas (por segmento);1C;0,300;30
20103620;2.01.03.62-0;Reabilitação de paciente com endoprótese;1B;0,760;30
20103638;2.01.03.63-8;Reabilitação labiríntica (por sessão);1C;1,000;30
20103646;2.01.03.64-6;Reabilitação perineal com biofeedback;3C;8,300;30
20103654;2.01.03.65-4;Recuperação funcional de distúrbios crânio-faciais;1B;0,340;30
20103662;2.01.03.66-2;Recuperação funcional pós-operatória ou pós-imobilização gessada de patologia osteomioarti;1B;0,470;30
20103670;2.01.03.67-0;Recuperação funcional pós-operatória ou pós-imobilização gessada de patologia osteomioarti;1B;0,700;30
20103689;2.01.03.68-9;Retardo do desenvolvimento psicomotor;1B;0,620;30
20103697;2.01.03.69-7;Seqüelas de traumatismos torácicos e abdominais;1B;0,300;30
20103700;2.01.03.70-0;Seqüelas em politraumatizados (em diferentes segmentos);1B;1,560;30
20103719;2.01.03.71-9;Sinusites;1B;0,300;30
20103727;2.01.03.72-7;Reabilitação cardíaca supervisionada. Programa de 12 semanas. Duas a três sessões por sema;1C;;30
20104014;2.01.04.01-4;Actinoterapia (por sessão);1A;;30
20104022;2.01.04.02-2;Aplicação de hipossensibilizante - em consultório (AHC) exclusive o alérgeno - planejament;1A;;30
20104049;2.01.04.04-9;Cateterismo vesical em retenção urinária;1C;;30
20104065;2.01.04.06-5;Cerumen - remoção (bilateral);1B;;30
20104073;2.01.04.07-3;Crioterapia (grupo de até 5 lesões);2A;;30
20104081;2.01.04.08-1;Curativos em geral com anestesia, exceto queimados;1A;;31
20104090;2.01.04.09-0;Curativo de extremidades de origem vascular;2A;;30
20104103;2.01.04.10-3;Curativos em geral sem anestesia, exceto queimados;1A;;31
20104111;2.01.04.11-1;Dilatação uretral (sessão);2C;;31
20104120;2.01.04.12-0;Fototerapia com UVA (PUVA) (por sessão);1B;;31
20104138;2.01.04.13-8;Imunoterapia específica - 30 dias - planejamento técnico;2C;;31
20104146;2.01.04.14-6;Imunoterapia inespecífica - 30 dias - planejamento técnico;2C;;31
20104154;2.01.04.15-4;Instilação vesical ou uretral;2B;;31
20104170;2.01.04.17-0;Sessão de eletroconvulsoterapia (em sala com oxímetro de pulso, monitor de ECG, EEG), sob;3C;;31
20104189;2.01.04.18-9;Sessão de oxigenoterapia hiperbárica (por sessão de 2 horas);5B;9,210;31
20104197;2.01.04.19-7;Sessão de psicoterapia de casal;3A;;31
20104200;2.01.04.20-0;Sessão de psicoterapia de grupo (por paciente);2A;;31
20104219;2.01.04.21-9;Sessão de psicoterapia individual;2C;;31
20104227;2.01.04.22-7;Sessão de psicoterapia infantil;2C;;31
20104235;2.01.04.23-5;Terapia inalatória - por nebulização;1A;;31
20104243;2.01.04.24-3;Terapia oncológica com altas doses - planejamento e 1º dia de tratamento;7A;;31
20104251;2.01.04.25-1;Terapia oncológica com altas doses - por dia subseqüente de tratamento;2C;;31
20104260;2.01.04.26-0;Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal - po;4C;;31
20104278;2.01.04.27-8;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão;4B;;31
20104286;2.01.04.28-6;Terapia oncológica com aplicação intra-arterial ou intravenosa de medicamentos em infusão;2A;;31
20104294;2.01.04.29-4;Terapia oncológica - planejamento e 1º dia de tratamento;4A;;31
20104308;2.01.04.30-8;Terapia oncológica - por dia subseqüente de tratamento;1C;;31
20104316;2.01.04.31-6;Curativo de ouvido (cada);1B;;30
20104324;2.01.04.32-4;Curativo oftalmológico;1B;;31
20105010;2.01.05.01-0;Perícia forense, por psiquiatra forense;11B;;31
20105029;2.01.05.02-9;Perícia psiquiátrica administrativa;8C;;31
20200005;2.02.00.00-5;Custo Código Procedimentos Porte Oper. AVALIAÇÕES / ACOMPANHAMENTOS (2.02.01.00-1) 2.02.01;14A;;33
20201028;2.02.01.02-8;Acompanhamento peroperatório;2B;;33
20201036;2.02.01.03-6;Assistência cardiológica peroperatória em cirurgia geral e em parto (primeira hora);3A;2;33
20201052;2.02.01.05-2;Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à des;2C;;33
20201060;2.02.01.06-0;Rejeição de enxerto renal - tratamento internado - avaliação clínica diária - por visita;2C;;33
20201079;2.02.01.07-9;Transplante duplo rim-pâncreas - acompanhamento clínico (pós-operatório até 15 dias);14A;;33
20201087;2.02.01.08-7;Tratamento conservador de traumatismo cranioencefálico, hipertensão intracraniana e hemorr;3C;;33
20201095;2.02.01.09-5;Assistência cardiológica no pós-operatório de cirurgia cardíaca (após a alta da UTI);2A;;33
20201109;2.02.01.10-9;Avaliação clínica diária enteral;2B;;33
20201117;2.02.01.11-7;Avaliação clínica diária parenteral;3A;;33
20201125;2.02.01.12-5;Avaliação clínica diária parenteral e enteral;3B;;33
20201990;2.02.01.99-0;OBSERVAÇÕES: - Referente ao código 2.02.01.02-8: - O acompanhamento será remunerado quando;1B;1,740;33
20202024;2.02.02.02-4;Cardiotocografia intraparto (por hora) até 6 horas externa;1A;;33
20202032;2.02.02.03-2;Monitorização hemodinâmica invasiva (por 12 horas);2A;;33
20202040;2.02.02.04-0;Monitorização neurofisiológica intra-operatória;7C;32,000;33
20202059;2.02.02.05-9;Potencial evocado intra-operatório - monitorização cirúrgica (PE/IO);2B;8,260;33
20202067;2.02.02.06-7;Monitorização da pressão intracraniana (por dia);2B;;33
20203012;2.02.03.01-2;Assistência fisiátrica respiratória em paciente internado com ventilação mecânica;1B;0,440;33
20203020;2.02.03.02-0;Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais - por ses;1C;;34
20203047;2.02.03.04-7;Assistência fisiátrica respiratória em doente clínico internado;1B;0,300;33
20203063;2.02.03.06-3;Pacientes com doença isquêmica do coração, hospitalizado, até 8 semanas de programa;1B;1,060;34
20203071;2.02.03.07-1;Pacientes em pós-operatório de cirurgia cardíaca, hospitalizado, até 8 semanas de programa;1B;1,060;34
20204027;2.02.04.02-7;Cardioversão elétrica de emergência;2C;;34
20204035;2.02.04.03-5;Cardioversão química de arritmia paroxísta em emergência;2C;;34
20204043;2.02.04.04-3;Priapismo - tratamento não cirúrgico;3A;;34
20204086;2.02.04.08-6;Terapia oncológica com aplicação intra-arterial de medicamentos, em regime de aplicação pe;8B;;34
30100003;3.01.00.00-3;Porte Custo No de Porte Código Procedimentos Oper. Aux. Anest. PROCEDIMENTOS (3.01.01.00-0;3C;;36
30101026;3.01.01.02-6;Alopecia parcial - exérese e sutura;4C;;36
30101034;3.01.01.03-4;Alopecia parcial - rotação de retalho;5B;;36
30101042;3.01.01.04-2;Alopecia parcial - rotação múltipla de retalhos;8C;;36
30101050;3.01.01.05-0;Apêndice pré-auricular - ressecção;4A;;36
30101069;3.01.01.06-9;Autonomização de retalho - por estágio;5B;;36
30101077;3.01.01.07-7;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, e;2B;;36
30101085;3.01.01.08-5;Biópsia de unha;2B;;36
30101093;3.01.01.09-3;Calosidade e/ou mal perfurante - desbastamento (por lesão);1B;;36
30101107;3.01.01.10-7;Cauterização química (por grupo de até 5 lesões);2A;;36
30101115;3.01.01.11-5;Cirurgia da hidrosadenite (por região);5B;;36
30101140;3.01.01.14-0;Correção cirúrgica de linfedema (por estágio);9C;;36
30101158;3.01.01.15-8;Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por regiã;6A;;36
30101166;3.01.01.16-6;Correção de deformidades nos membros com utilização de implantes;9B;;36
30101174;3.01.01.17-4;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de;9B;;36
30101182;3.01.01.18-2;Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego d;9B;;36
30101190;3.01.01.19-0;Correção de lipodistrofia braquial, crural ou trocanteriana de membros superiores e inferi;9A;;36
30101204;3.01.01.20-4;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas;3B;;36
30101212;3.01.01.21-2;Curativo de queimaduras - por unidade topográfica (UT) ambulatorial;1C;;36
30101220;3.01.01.22-0;Curativo de queimaduras - por unidade topográfica (UT) Hospitalar;2C;;36
30101239;3.01.01.23-9;Curativo especial sob anestesia - por unidade topográfica (UT);2C;;36
30101247;3.01.01.24-7;Curetagem e eletrocoagulação de CA de pele (por lesão);3A;;36
30101255;3.01.01.25-5;Curetagem simples de lesões de pele (por grupo de até 5 lesões);2A;;36
30101271;3.01.01.27-1;Dermolipectomia para correção de abdome em avental;9C;;37
30101280;3.01.01.28-0;Desbridamento cirúrgico - por unidade topográfica (UT);3C;;37
30101298;3.01.01.29-8;Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 le;2C;;37
30101301;3.01.01.30-1;Enxerto cartilaginoso;5B;;37
30101310;3.01.01.31-0;Enxerto composto;5B;;37
30101328;3.01.01.32-8;Enxerto de mucosa;5B;;37
30101336;3.01.01.33-6;Enxerto de pele (homoenxerto inclusive);5B;;37
30101344;3.01.01.34-4;Enxerto de pele múltiplo - por unidade topográfica (UT);5B;;37
30101352;3.01.01.35-2;Epilação por eletrólise (por sessão);2A;;37
30101360;3.01.01.36-0;Escalpo parcial - tratamento cirúrgico;6A;;37
30101379;3.01.01.37-9;Escalpo total - tratamento cirúrgico;9B;;37
30101387;3.01.01.38-7;Escarotomia descompressiva - por unidade topográfica (UT);2C;;37
30101395;3.01.01.39-5;Esfoliação química média (por sessão);3C;;37
30101409;3.01.01.40-9;Esfoliação química profunda (por sessão);4A;;37
30101417;3.01.01.41-7;Esfoliação química superficial (por sessão);3A;;37
30101425;3.01.01.42-5;Exérese de higroma cístico;9A;;37
30101433;3.01.01.43-3;Exérese de higroma cístico no RN e lactente;11C;;37
30101441;3.01.01.44-1;Exérese de lesão com auto-enxertia;5C;;37
30101450;3.01.01.45-0;Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos;5A;;37
30101468;3.01.01.46-8;Exérese de lesão / tumor de pele e mucosas;3C;;37
30101476;3.01.01.47-6;Exérese de tumor e rotação de retalho músculo-cutâneo;5B;;37
30101484;3.01.01.48-4;Exérese de unha;2B;;37
30101492;3.01.01.49-2;Exérese e sutura simples de pequenas lesões - grupo de até 5 lesões;3B;;37
30101506;3.01.01.50-6;Exérese tangencial (shaving) - (por grupo de até 5 lesões);2C;;37
30101514;3.01.01.51-4;Expansão tissular (por sessão);1C;;37
30101522;3.01.01.52-2;Extensos ferimentos, cicatrizes ou tumores - excisão e retalhos cutâneos da região;8B;;37
30101530;3.01.01.53-0;Extensos ferimentos, cicatrizes ou tumores - exérese e emprego de retalhos cutâneos ou mus;9B;;38
30101549;3.01.01.54-9;Extensos ferimentos, cicatrizes ou tumores - exérese e retalhos cutâneos à distância;9B;;37
30101557;3.01.01.55-7;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalho fasciocutâneo ou;9B;;38
30101573;3.01.01.57-3;Extensos ferimentos, cicatrizes ou tumores - exérese e rotação de retalhos musculares;9A;;37
30101581;3.01.01.58-1;Extensos ferimentos, cicatrizes, ou tumores - exérese e enxerto cutâneo;8A;;38
30101590;3.01.01.59-0;Face - biópsia;3B;;38
30101603;3.01.01.60-3;Ferimentos infectados e mordidas de animais (desbridamento);2B;;38
30101611;3.01.01.61-1;Incisão e drenagem de tenossinovites purulentas;3B;;38
30101620;3.01.01.62-0;Incisão e drenagem de abscesso, hematoma ou panarício;2B;;38
30101638;3.01.01.63-8;Incisão e drenagem de flegmão;3A;;38
30101646;3.01.01.64-6;Infiltração intralesional, cicatricial / hemangiomas - por sessão;1C;;38
30101654;3.01.01.65-4;Lasercirurgia (por sessão);4B;;38
30101662;3.01.01.66-2;Matricectomia por dobra ungueal;3A;;38
30101670;3.01.01.67-0;Plástica em Z ou W;4A;;38
30101689;3.01.01.68-9;Reconstrução com retalhos de gálea aponeurótica;8C;;38
30101697;3.01.01.69-7;Retalho composto (incluindo cartilagem ou osso);8C;;38
30101735;3.01.01.73-5;Retirada de corpo estranho subcutâneo;2C;;38
30101743;3.01.01.74-3;Retração cicatricial de axila - tratamento cirúrgico;5B;;38
30101751;3.01.01.75-1;Retração cicatricial de zona de flexão e extensão de membros superiores e inferiores;5B;;38
30101760;3.01.01.76-0;Retração cicatricial do cotovelo - tratamento cirúrgico;5B;;38
30101778;3.01.01.77-8;Retração de aponevrose palmar (Dupuytren);5B;;38
30101786;3.01.01.78-6;Sutura de extensos ferimentos com ou sem desbridamento;5B;;38
30101794;3.01.01.79-4;Sutura de pequenos ferimentos com ou sem desbridamento;2B;;38
30101808;3.01.01.80-8;Transecção de retalho;5B;;38
30101816;3.01.01.81-6;Transferência intermediária de retalho;5B;;38
30101824;3.01.01.82-4;Tratamento cirúrgico de bridas constrictivas;9A;;38
30101832;3.01.01.83-2;Tratamento cirúrgico de grandes hemangiomas;9C;;38
30101840;3.01.01.84-0;Tratamento da miiase furunculóide (por lesão);2C;;38
30101859;3.01.01.85-9;Tratamento de anomalias pilosas a laser/ photoderm - por sessão;2A;;38
30101867;3.01.01.86-7;Tratamento de escaras ou ulcerações com enxerto de pele;9A;;38
30101883;3.01.01.88-3;Tratamento de escaras ou ulcerações com retalhos miocutâneos ou musculares;9B;;39
30101891;3.01.01.89-1;Tratamento de fístula cutânea;3B;;39
30101905;3.01.01.90-5;Tratamento de lesões cutâneas e vasculares a laser/ photoderm -por sessão;2A;;39
30101913;3.01.01.91-3;TU partes moles - exérese;4A;;39
30101921;3.01.01.92-1;Exérese e sutura de hemangioma, linfangioma ou nevus (por grupo de até 5 lesões);3B;;37
30101930;3.01.01.93-0;Abscesso de unha (drenagem) - tratamento cirúrgico;2B;;36
30101948;3.01.01.94-8;Cantoplastia ungueal;3A;;36
30101956;3.01.01.95-6;Unha (enxerto) - tratamento cirúrgico;2B;;39
30200008;3.02.00.00-8;Porte Custo No de Porte Código Procedimentos Oper. Aux. Anest. LÁBIO (3.02.01.00-4) 3.02.0;2B;;40
30201020;3.02.01.02-0;Excisão com plástica de vermelhão;5B;;40
30201039;3.02.01.03-9;Excisão com reconstrução à custa de retalhos;7C;;40
30201047;3.02.01.04-7;Excisão com reconstrução total;10B;;40
30201055;3.02.01.05-5;Excisão em cunha;2B;;40
30201063;3.02.01.06-3;Frenotomia labial;2C;;40
30201071;3.02.01.07-1;Queiloplastia para fissura labial unilateral - por estágio;9B;;40
30201080;3.02.01.08-0;Reconstrução de sulco gengivo-labial;6A;;40
30201098;3.02.01.09-8;Reconstrução total do lábio;10B;;40
30201101;3.02.01.10-1;Tratamento cirúrgico da macrostomia;5B;;40
30201110;3.02.01.11-0;Tratamento cirúrgico da microstomia;5B;;40
30202019;3.02.02.01-9;Alongamento cirúrgico do palato mole;9A;;40
30202027;3.02.02.02-7;Biópsia de boca;2B;;40
30202035;3.02.02.03-5;Excisão de lesão maligna com reconstrução à custa de retalhos locais;8B;;40
30202043;3.02.02.04-3;Excisão de tumor de boca com mandibulectomia;10A;;40
30202051;3.02.02.05-1;Exérese de tumor e enxerto cutâneo ou mucoso;5B;;40
30202060;3.02.02.06-0;Fístula orofacial - tratamento cirúrgico;6A;;40
30202078;3.02.02.07-8;Glossectomia subtotal ou total, com ou sem mandibulectomia;10A;;40
30202086;3.02.02.08-6;Palato-queiloplastia unilateral;10A;;40
30202094;3.02.02.09-4;Palatoplastia com enxerto ósseo;10A;;40
30202108;3.02.02.10-8;Palatoplastia com retalho faríngeo;10A;;40
30202116;3.02.02.11-6;Palatoplastia com retalho miomucoso;9C;;40
30202124;3.02.02.12-4;Palatoplastia parcial;9A;;40
30202132;3.02.02.13-2;Palatoplastia total;9C;;40
30202140;3.02.02.14-0;Plástica do ducto parotídeo;7A;;40
30203015;3.02.03.01-5;Frenotomia lingual;2C;;40
30203023;3.02.03.02-3;Tumor de língua - tratamento cirúrgico;4C;;40
30204011;3.02.04.01-1;Biópsia de glândula salivar;3B;;40
30204038;3.02.04.03-8;Exérese de rânula ou mucocele;4A;;41
30204046;3.02.04.04-6;Parotidectomia parcial com conservação do nervo facial;9A;;41
30204054;3.02.04.05-4;Parotidectomia total ampliada com ou sem reconstrução com retalhos locais;10A;;41
30204062;3.02.04.06-2;Parotidectomia total com conservação do nervo facial;9C;;41
30204070;3.02.04.07-0;Parotidectomia total com reconstrução do nervo facial;11A;;41
30204089;3.02.04.08-9;Parotidectomia total com sacrificio do nervo facial, sem reconstrução;7C;;41
30204097;3.02.04.09-7;Plastia de ducto salivar ou exérese de cálculo ou de rânula..4A - 1 3 3.02.04.10-0 Ressecç;4C;;41
30205018;3.02.05.01-8;Abscesso faríngeo - qualquer área;3B;;41
30205026;3.02.05.02-6;Adeno tonsilectomia - revisão cirúrgica;5B;;41
30205034;3.02.05.03-4;Adeno-amigdalectomia;7A;;41
30205042;3.02.05.04-2;Adenoidectomia;5B;;41
30205050;3.02.05.05-0;Amigdalectomia das palatinas;5B;;41
30205069;3.02.05.06-9;Amigdalectomia lingual;5B;;41
30205077;3.02.05.07-7;Biópsia do cavum, orofaringe ou hipofaringe;3B;;41
30205085;3.02.05.08-5;Cauterização (qualquer técnica) por sessão;1C;;41
30205093;3.02.05.09-3;Corpo estranho de faringe - retirada em consultório;3B;;41
30205107;3.02.05.10-7;Corpo estranho de faringe - retirada sob anestesia geral;4A;;41
30205115;3.02.05.11-5;Criptólise amigdaliana;4B;;41
30205140;3.02.05.14-0;Faringolaringectomia;10C;;41
30205158;3.02.05.15-8;Faringolaringoesofagectomia total;12B;;41
30205166;3.02.05.16-6;Ressecção de nasoangiofibroma;9C;;41
30205174;3.02.05.17-4;Ressecção de tumor de faringe (via bucal ou nasal);7C;;41
30205182;3.02.05.18-2;Ressecção de tumor de faringe com acesso por faringotomia ou por retalho jugal;8C;;41
30205190;3.02.05.19-0;Ressecção de tumor de faringe com mandibulectomia;9C;;41
30205204;3.02.05.20-4;Ressecção de tumor de faringe por mandibulotomia;10C;;41
30205212;3.02.05.21-2;Ressecção de tumor de nasofaringe via endoscópica;5B;;41
30205220;3.02.05.22-0;Tonsilectomia a laser;4B;;41
30205239;3.02.05.23-9;Tumor de boca ou faringe - ressecção;7C;;41
30205263;3.02.05.26-3;Uvulopalatofaringoplastia por radiofreqüência;9A;;42
30205271;3.02.05.27-1;Adenoidectomia por videoendoscopia;6B;33,800;41
30205280;3.02.05.28-0;Ressecção de nasoangiofibroma por videoendoscopia;11B;38,500;41
30206014;3.02.06.01-4;Alargamento de traqueostomia;4C;;42
30206022;3.02.06.02-2;Aritenoidectomia microcirúrgica;6A;;42
30206030;3.02.06.03-0;Aritenoidectomia ou aritenopexia via externa;8A;;42
30206049;3.02.06.04-9;Confecção de fístula tráqueo-esofágica para prótese fonatória com miotomia faríngea;8A;;42
30206065;3.02.06.06-5;Exérese de tumor por via endoscópica;6A;;42
30206103;3.02.06.10-3;Injeção intralaríngea de toxina botulínica;4B;;42
30206120;3.02.06.12-0;Laringectomia parcial;9C;;42
30206138;3.02.06.13-8;Laringectomia total;10C;;42
30206170;3.02.06.17-0;Laringofissura (inclusive com cordectomia);7A;;42
30206200;3.02.06.20-0;Laringotraqueoplastia;9A;;42
30206219;3.02.06.21-9;Microcirurgia com laser para remoção de lesões malignas;6A;;42
30206227;3.02.06.22-7;Microcirurgia com uso de laser para ressecção de lesões;5B;;42
30206235;3.02.06.23-5;Microcirurgia para decorticação ou tratamento de edema de Reinke;6A;;42
30206243;3.02.06.24-3;Microcirurgia para remoção de cisto ou lesão intracordal;6A;;42
30206251;3.02.06.25-1;Microcirurgia para ressecção de papiloma;6A;;42
30206260;3.02.06.26-0;Microcirurgia para ressecção de pólipo, nódulo ou granuloma;5B;;42
30206278;3.02.06.27-8;Microcirurgia para tratamento de paralisia de prega vocal (inclui injeção de materiais);6A;;42
30206294;3.02.06.29-4;Reconstrução para fonação após laringectomia;5B;;42
30206308;3.02.06.30-8;Tiroplastia tipo 1 com rotação de aritenóide;8B;;42
30206316;3.02.06.31-6;Tiroplastia tipo 1 simples;6A;;42
30206324;3.02.06.32-4;Tiroplastia tipo 2 ou 3;6A;;42
